species	chemical	frequency	pmid
Rhamalina intermedia	tcd3+	1	37781278
Rhamalina intermedia	hematoxylin	19	37781278, 36835279, 34948031, 28602867, 27852816, 23157396, 11128291, 10940114, 8536939, 1667000, 3030167, 6685394, 95143, 657240, 736753, 76451, 178416
Rhamalina intermedia	eosin	13	37781278, 36835279, 34948031, 28602867, 27852816, 23157396, 22649474, 11128291, 10940114, 10809353, 3030167, 6685394
Rhamalina intermedia	tcd3	3	37781278
Rhamalina intermedia	glucose	233	37778651, 36840433, 36641787, 36625459, 36118716, 36034307, 35954001, 35802236, 34884261, 34043845, 33804751, 33509165, 33302557, 32936341, 32190113, 32037367, 31962136, 31900994, 31617618, 31498947, 31205630, 31114275, 30498977, 30417404, 30389762, 30142655, 30001422, 29636726, 29632843, 29195115, 29172109, 28892684, 28630069, 28444598, 28380523, 30931777, 27689988, 27416512, 27347827, 27345307, 27103628, 26169937, 25986950, 25924695, 25869529, 25808563, 25465792, 25245679, 25240230, 24959733, 24354503, 24344268, 24116118, 24063243, 24033478, 23663105, 23571008, 23133617, 22933160, 22591844, 22445945, 22113025, 22029818, 21906329, 20666984, 20236521, 20011070, 19002682, 18524919, 16402921, 15958206, 15742701, 15631037, 15620236, 15461364, 15450007, 15002063, 12702245, 12465775, 12270786, 11762870, 11332700, 11154402, 11014522, 10699850, 10559178, 10548539, 9734021, 9573805, 9466148, 9336899, 16887563, 9171510, 8836443, 7621678, 7819067, 8116170, 8262355, 8387700, 1390107, 1855455, 1650504, 2039228, 2333736, 2474710, 2833553, 2833479, 3142200, 3330656, 3305277, 3906615, 6099818, 6742988, 6875958, 6800644, 7035597, 572903
Rhamalina intermedia	dextrose	4	37778651, 36284947, 29172109, 13760353
Rhamalina intermedia	gambisan	1	37764380
Rhamalina intermedia	flavonoids	52	37753264, 36641108, 36445575, 36430196, 35585109, 35453396, 34554510, 33916866, 33255092, 31680278, 31671566, 30841424, 30781495, 29165339, 28990237, 28386582, 28330226, 26655950, 26132850, 25604883, 22265748, 21878381, 21866899, 21298259, 20877203, 19844825, 18712174, 17927148, 14733497, 12797758, 9276981, 16656751
Rhamalina intermedia	saponins	6	37753264, 25315436, 24063243
Rhamalina intermedia	quinones	3	37753264, 11249018
Rhamalina intermedia	tannins	10	37753264, 37291703, 36641108, 25604883, 20877203, 18712174, 11273014
Rhamalina intermedia	terpenoids	7	37753264, 37513877, 36027609
Rhamalina intermedia	steroids	25	37753264, 32557081, 30904883, 25245679, 25002928, 24221579, 18496699, 17076760, 16339698, 15631037, 15053928, 9806521, 8276133, 3946102, 6838949, 7139689, 7357592, 487400, 380519, 200361, 4362738
Rhamalina intermedia	2,2-diphenyl-1-picrylhydrazyl	3	37753264, 22769046, 27021984
Rhamalina intermedia	dpph	21	37753264, 35954001, 35453396, 34834852, 34451574, 29966744, 28990237, 22769046, 22693528, 22649474, 27021984, 20877203, 19844825, 18243157, 16967767
Rhamalina intermedia	doxycycline	85	37753264, 36837504, 36497685, 36398568, 35959306, 35890542, 33934384, 32046045, 30218737, 29653474, 27143825, 26584828, 25316464, 23745336, 23688097, 23659420, 23551701, 22414835, 22385260, 21812718, 21663534, 18279182, 17286127, 17064394, 16499715, 16261393, 16087299, 15917691, 15324352, 15228906, 12886961, 12390569, 11575110, 11140556, 11089368, 8959563, 1552469
Rhamalina intermedia	vitamin c	6	37753264, 22693528, 22649474, 21705975, 18712174
Rhamalina intermedia	2-methylisoborneol	4	37732762, 34558048
Rhamalina intermedia	2-mib	24	37732762, 34558048
Rhamalina intermedia	geranyl diphosphate	6	37732762, 36271988, 31927660, 29948128, 23918183, 22592779
Rhamalina intermedia	2-methyl geranyl diphosphate	1	37732762
Rhamalina intermedia	geranyl diphosphate methyl	1	37732762
Rhamalina intermedia	cyclic nucleotide	3	37732762, 2988112
Rhamalina intermedia	triclosan	48	37723004, 27966513, 27340161, 25711725, 17889698, 12795792, 12716333, 11799736, 9442424, 8602338
Rhamalina intermedia	tcs	10	37723004, 23890391
Rhamalina intermedia	fluoride	5	37723004, 37376175, 25986950, 23368885, 19410352
Rhamalina intermedia	rob	1	37723004
Rhamalina intermedia	degs	1	37707622
Rhamalina intermedia	aminoglycoside 3'-o	4	37700861
Rhamalina intermedia	aph(3')-id	3	37700861
Rhamalina intermedia	aminoglycosides	4	37700861, 37039640, 13129648, 4035045
Rhamalina intermedia	beta-lactam	22	37700861, 29737548, 25623818, 23173872, 21524712, 17407578, 16261393, 14766881, 13129648, 12636990, 12234847, 9989643, 9573820, 9483884, 9402501, 4035045
Rhamalina intermedia	aminoglycoside	10	37700861, 37039640
Rhamalina intermedia	ame	2	37700861, 30980081
Rhamalina intermedia	aph(3')-ia	1	37700861
Rhamalina intermedia	kanamycin	16	37700861, 37669178, 12356456, 11094276, 9411079, 24178668, 7557341, 3629965
Rhamalina intermedia	ribostamycin	2	37700861
Rhamalina intermedia	paromomycin	2	37700861
Rhamalina intermedia	neomycin	5	37700861, 12920035, 11027832, 9681504
Rhamalina intermedia	deoxyribonucleic acid	1	37680845
Rhamalina intermedia	polyacrylamide	33	37680845, 28476998, 23336115, 16259984, 10530254, 10089154, 10085012, 10074526, 9587274, 9353030, 9021323, 7579365, 8590668, 7790101, 7796488, 7675514, 7870469, 8039652, 21395790, 1408358, 2808414, 29265427, 3171542, 2467526, 3429243, 6840522, 6274867, 6268419, 7461898, 227883, 277917
Rhamalina intermedia	ppd	10	37672083, 37154987, 36980362, 36633093, 20671070
Rhamalina intermedia	ethanol	154	37669178, 37663462, 37531932, 36529123, 36075265, 35171635, 34838385, 33916866, 32945738, 32779539, 31447028, 31143001, 30957195, 30841424, 30498977, 30427122, 30356383, 30119626, 29633441, 29100679, 28892684, 28842339, 28597311, 28460978, 28290329, 27668880, 27642324, 27416512, 27233099, 26682213, 26122212, 26024407, 25605993, 24738759, 24354503, 23673976, 22693528, 22591844, 22265748, 27137641, 22113025, 30731681, 23572799, 21906329, 21642010, 20236521, 19924859, 19002682, 18814211, 18672045, 18524919, 18188645, 16967767, 16626372, 15914270, 15507351, 9734021, 9336899, 2642210, 2948090, 18548497, 932520
Rhamalina intermedia	naclo	3	37669178, 35171635, 32007684
Rhamalina intermedia	mz995430	1	37669178
Rhamalina intermedia	mz995431	1	37669178
Rhamalina intermedia	mg220378	1	37669178
Rhamalina intermedia	mg220385	1	37669178
Rhamalina intermedia	mt592502	1	37669178
Rhamalina intermedia	petroleum ether	4	37663462, 36688708, 15507351, 12753913
Rhamalina intermedia	13c	12	37663462, 32450322, 30406370, 26087552, 25244759, 28510876, 21850934, 7819067, 2472796, 2454623, 2445352
Rhamalina intermedia	cyclophosphamide	3	37663462, 23102860, 12403486
Rhamalina intermedia	fatty acids	35	37609105, 36748598, 35435503, 32195650, 32058159, 31661044, 31053905, 26674350, 25961401, 25253586, 24640241, 22771683, 21850934, 21282897, 20799083, 20348323, 19671711, 19605731, 18460154, 17898515, 15653922, 12753913, 12270786, 16887563, 9345789, 9172861, 8746044, 1404327, 24420636, 5700113
Rhamalina intermedia	propionic acid	8	37609105, 25340203, 9042080, 8877660
Rhamalina intermedia	indole	10	37609105, 34413397, 31698353, 27914477, 21658104, 16293998, 9734021
Rhamalina intermedia	lysophosphatidylcholine	5	37569382, 36828423, 33019554, 21590705, 15926888
Rhamalina intermedia	peco	2	37523470
Rhamalina intermedia	crd42021254589	1	37523470
Rhamalina intermedia	tritopsyllini	1	37518030
Rhamalina intermedia	testosterone	19	37513877, 32557081, 22664052, 19337176, 15844476, 9222443, 7776153, 7852609, 1624088, 6683593, 7139689, 5503220
Rhamalina intermedia	5-alpha	2	37513877
Rhamalina intermedia	ursolic acid	8	37513877, 36027609, 34669249, 12425858
Rhamalina intermedia	aldehyde	13	37513877, 17109149, 14690376, 10548539, 466690, 466678, 627018, 1236873
Rhamalina intermedia	tbd	2	37512886
Rhamalina intermedia	ephedrine alkaloids	3	37511036
Rhamalina intermedia	diethyl ether	1	37511036
Rhamalina intermedia	benzene	4	37511036, 12586169, 10554141
Rhamalina intermedia	ephedrine	46	37511036, 31685738, 30941367, 30930415, 30406370, 28842339, 28602867, 28444836, 28386582, 28154329, 24069055, 21465337, 16595911, 15684485, 15635242, 15633802, 12590118, 17235993, 2618686
Rhamalina intermedia	pseudoephedrine	17	37511036, 36641108, 31685738, 30930415, 28842339, 28602867, 28444836, 28386582, 28154329, 21465337, 16595911, 15684485, 17235993, 2618686
Rhamalina intermedia	hydrocarbon	19	37507453, 11980445, 18576369, 870104, 322743
Rhamalina intermedia	aromatic hydrocarbons	1	37507453
Rhamalina intermedia	n-alkanes	1	37507453
Rhamalina intermedia	naphthalene	1	37507453
Rhamalina intermedia	toluene	1	37507453
Rhamalina intermedia	quinate	1	37507453
Rhamalina intermedia	nitrogen	73	37507453, 37421720, 37142031, 36258980, 36167972, 36118716, 35986253, 35802236, 35379855, 34940920, 34838385, 32984478, 31854793, 31110689, 30781572, 29965009, 29257998, 29209294, 29098561, 28626614, 28559913, 25946170, 24817095, 23995401, 23631116, 23102860, 21621645, 21316866, 19895397, 18581145, 18310868, 21642204, 16005484, 15986071, 15139185, 36056522, 11980445, 8713612, 8262355, 1663340, 3142200
Rhamalina intermedia	cobalamin	1	37507453
Rhamalina intermedia	lithium	6	37485555, 32750671, 23594724, 2174240
Rhamalina intermedia	2-pyrimidyl	1	37485555
Rhamalina intermedia	disulfide	14	37485555, 27488102, 27343628, 24146662, 24038029, 23751278, 22045566, 21301094, 16806047, 15720569, 9989383, 2434529, 3429243
Rhamalina intermedia	organosulfides	1	37485555
Rhamalina intermedia	s-s	3	37485555
Rhamalina intermedia	bis(2-pyrimidyl) disulfide	1	37485555
Rhamalina intermedia	pyrimidyl	2	37485555
Rhamalina intermedia	l-arginine	12	37484717, 37215635, 15491347, 11694077
Rhamalina intermedia	pap	4	37484717
Rhamalina intermedia	pcbs	21	37481858, 32608777, 29906766, 23828374, 20434752, 17850847, 12026989
Rhamalina intermedia	27pcb	1	37481858
Rhamalina intermedia	dioxin	3	37481858, 20434752, 15910966
Rhamalina intermedia	pcb	24	37481858, 29906766, 20434752, 17850847, 12026989, 12013139
Rhamalina intermedia	folic acid	6	20301599, 20492708, 10851861, 9020369, 6620712
Rhamalina intermedia	desferroxamine b	1	20301599
Rhamalina intermedia	deferiprone	59	20301599, 29737522, 27019793, 26893541, 26818147, 26670754, 26405152, 26044060, 25809173, 25557851, 24294523, 23775258, 23599881, 21813448, 21599436, 21418744, 20945995, 20524815, 17975016, 16173974, 15737890, 15561674, 15153710, 12846901, 7655028, 7893273
Rhamalina intermedia	deferasirox	45	20301599, 36606625, 29737522, 28818403, 28404539, 28316434, 27809710, 26893541, 26818147, 26802257, 26670754, 26114738, 24422369, 23599881, 23553596, 23329319, 22859709, 20950401, 20524815, 20007138, 19863539
Rhamalina intermedia	bisphosphonate	2	20301599, 25002928
Rhamalina intermedia	alcohol	32	20301599, 33887125, 29668903, 28807162, 30931777, 27127695, 26062839, 25113045, 24662076, 23848206, 23039819, 22878796, 21743410, 8596073, 7722064, 2642210, 554983
Rhamalina intermedia	citric acid	8	37444905, 23745336, 9150039
Rhamalina intermedia	titanium	66	37444905, 37367261, 36640857, 36110822, 34991888, 34946084, 34683666, 33622023, 32901713, 32879714, 31592676, 31301809, 30188855, 27472955, 27058704, 26674427, 26461083, 25024367, 24656409, 23370877, 22727529, 21821331, 21492236, 15623054, 12814313, 12212679, 9509781, 9586470, 9151584, 8747674, 1317427, 1288798
Rhamalina intermedia	triethoxysilylpropyl succinic anhydride silane	1	37444905
Rhamalina intermedia	hydrogen peroxide	20	37444173, 33800047, 32865464, 32503390, 31988023, 30521599, 29689267, 28067105, 26875613, 15958206, 14653386, 11408950, 11080671, 9736380, 9487836
Rhamalina intermedia	methanol	34	37444173, 37075426, 36688708, 33916866, 31545933, 30835567, 30427122, 28990237, 27706097, 27642324, 25605993, 24549007, 23033653, 22517239, 21465337, 19768984, 18635332, 18007466, 17459621, 17395190, 15567263, 10725172, 9276981
Rhamalina intermedia	edta	19	37444173, 36496836, 35975115, 31900994, 31246158, 24583092, 24461411, 22565224, 14759706, 12930529, 12589956, 11398832, 10203506, 9690796, 7594608, 7539837, 2694247
Rhamalina intermedia	ethylenediaminetetraacetic acid	4	37444173, 31617618, 26773714
Rhamalina intermedia	d-o	1	37421720
Rhamalina intermedia	carbon	100	37421720, 37142031, 37000294, 36968380, 36893808, 36828423, 35802236, 35629713, 35212483, 35151750, 34142205, 32579519, 32190113, 31854793, 31110689, 31061264, 30127413, 29100679, 29098561, 28809955, 28804512, 28707658, 28667274, 28626614, 27542742, 27103628, 24548277, 24459150, 23631116, 23431775, 23266804, 23029303, 21850934, 19895397, 17912965, 17530390, 21642204, 17127663, 16009398, 15680626, 15548301, 15139185, 12387419, 11518336, 9767508, 9172861, 7686781, 2955585, 3711276, 4463352, 5700113
Rhamalina intermedia	n	25	37421720, 35546578, 32934288, 31061264, 29980710, 23431775, 18353326, 17526882, 17203432, 15211927, 36056522, 12679085, 10082160, 8275975, 2260977, 2349240, 6316293
Rhamalina intermedia	monoterpenoid	4	37399213, 20621795
Rhamalina intermedia	monoterpenoids	2	37399213
Rhamalina intermedia	linalyl	2	37399213
Rhamalina intermedia	lavandulyl acetate	6	37399213, 35684332, 35408552, 31349556, 23306202
Rhamalina intermedia	1,8-cineole	11	37399213, 36565292, 34770856, 34684738, 32397385, 31349556, 30118806, 29781303, 23306202, 22592779
Rhamalina intermedia	camphor	26	37399213, 36565292, 36559590, 36271988, 35884108, 35408552, 34770856, 34684738, 32397385, 30504672, 29781303, 26106980, 23306202, 23058847, 19967985, 18576369
Rhamalina intermedia	hydroxyurea	229	37394969, 35959173, 35289581, 34177092, 33506904, 32190657, 31853840, 31710694, 31666842, 31497556, 31253214, 31039620, 30924610, 29926158, 29157136, 28503326, 28408107, 28321531, 28301910, 28121747, 28085748, 28061537, 27755646, 27652196, 27381165, 27211282, 26557561, 26460260, 26421179, 26142330, 26076396, 26016899, 25838937, 25435729, 25254090, 25247665, 25237586, 25183077, 25110660, 25062719, 24754690, 24483841, 24453395, 24144212, 24112139, 23927461, 23848223, 23556445, 23057549, 22943111, 22824997, 22664052, 22180324, 22075289, 21797705, 21599436, 21447009, 20724947, 20709051, 20367264, 20154037, 20132300, 20032507, 20001623, 19954365, 19799627, 19687759, 19545554, 19077048, 19046318, 18796252, 18181203, 17880608, 17565568, 16818041, 16731126, 16462721, 16462720, 16462586, 16389564, 16019448, 16012328, 15838670, 14631615, 12702505, 12605659, 12472594, 12374363, 12224008, 11878781, 11694246, 11675925, 10901597, 10589077, 10091146, 9668584, 9668534, 8562946, 7646994, 7520935, 8186851
Rhamalina intermedia	phosphatidylserine	13	37394969, 29402840, 25613926, 24620948, 20127662, 18422994, 18302715
Rhamalina intermedia	s-prg	4	37376175
Rhamalina intermedia	prg	2	37376175
Rhamalina intermedia	ti	11	37367261, 36110822, 34991888, 26674427, 25574364, 23370877, 21492236, 15506204
Rhamalina intermedia	aspalathin	4	37351256, 16949333, 16927447
Rhamalina intermedia	frutescene	2	37351256
Rhamalina intermedia	superoxide	12	37351256, 25962580, 16379648, 16173974, 15895519, 15812857, 10733869, 932520
Rhamalina intermedia	malondialdehyde	17	37351256, 34675613, 34124817, 32455574, 31545933, 31032672, 30669938, 25395219, 21418744, 19218790, 11886433, 11378535, 9808587, 7655028
Rhamalina intermedia	mda	16	37351256, 34675613, 32455574, 31032672, 25395219, 21705975, 21083570, 11886433, 9808587
Rhamalina intermedia	lysine	11	37347817, 26662717, 16806047, 10733869, 1423726, 2356183, 2967443, 446880, 277917, 270671, 1091485
Rhamalina intermedia	calcium hydroxocuprate	1	37341075
Rhamalina intermedia	silver	52	37341075, 33622023, 31301809, 28476998, 25650322, 25581046, 24068530, 21457185, 12594526, 12175619, 11482142, 11327077, 10695968, 10619066, 10089154, 1652534, 2549146, 2509633, 2998173, 4061881, 6468636, 6206623, 7145239, 1234389
Rhamalina intermedia	hydrosol	1	37341075
Rhamalina intermedia	calcium hydroxide	45	37341075, 35592523, 33103954, 29943369, 19473156, 18438556, 17689115, 16997123, 16683687, 16673792, 16429180, 12540221, 12470019, 11858203, 11800436, 10023249, 7996084, 3939338
Rhamalina intermedia	quarantine	1	37333990
Rhamalina intermedia	hnc	2	37328857
Rhamalina intermedia	amoxicillin	163	37315307, 37140235, 36497685, 36416468, 35909602, 35884141, 35625221, 33934384, 33003527, 32763436, 32046045, 30048057, 29653474, 29653193, 29123174, 28844191, 28383606, 27563508, 25971786, 25593435, 25091293, 25001360, 24930639, 24727003, 24565649, 23688097, 23659420, 23551701, 23224675, 23173872, 22890195, 22220822, 21763894, 21524712, 20305865, 20214441, 20059413, 19839485, 19097755, 17897190, 17618330, 17530037, 16970621, 16268997, 15998275, 15367191, 12886961, 12390569, 11600394, 11490400, 11350503, 11314884, 10895690, 10412851, 9848540, 9846793, 9650870, 9573820, 9402501, 9266340, 7891253, 1758517, 1800380, 1890173
Rhamalina intermedia	metronidazole	262	37315307, 37140235, 36497685, 36416468, 35940971, 35884141, 35625221, 34637255, 33934384, 33883328, 33003527, 32046045, 32021107, 30146848, 29653193, 28844191, 28383606, 30695540, 27563508, 25971786, 25935303, 25001360, 24930639, 24727003, 23688097, 23659420, 23551701, 23224675, 23173872, 22220822, 21763894, 21524712, 20670687, 20549955, 20305865, 20214441, 20059413, 19937216, 19839485, 18326855, 17897190, 17618330, 17530037, 16970621, 16887668, 16701590, 16579700, 16448937, 16268997, 15998275, 15757581, 15722627, 15367191, 15272511, 12666946, 12615878, 12390569, 11966932, 11808376, 11490400, 11480243, 11383022, 11350503, 11314884, 10980176, 10797085, 10589806, 10508011, 10471570, 10440638, 10423740, 10350399, 10223399, 9988340, 9848540, 9846793, 9802715, 9706861, 9650870, 9442426, 9266345, 9144048, 9083899, 8959563, 9569804, 8530742, 7562327, 7891253, 11830836, 7823273, 8463936, 1332988, 1324301, 1552469, 1758517, 1890173
Rhamalina intermedia	nic	1	37315307
Rhamalina intermedia	flavodoxin	2	37314331
Rhamalina intermedia	succinate	12	37314331, 36560955, 11762870, 11155172, 11154402
Rhamalina intermedia	oxoglutarate	1	37314331
Rhamalina intermedia	pyruvate	14	37314331, 36847623, 28874750, 21658104, 20173005, 19832801, 16032456, 7262088
Rhamalina intermedia	carbohydrate	29	37314331, 36625459, 33887125, 33568296, 30580057, 29535699, 29172109, 28983469, 25720299, 24581360, 22621847, 21386213, 20666984, 10189832, 10082160, 9879519, 9353030, 9178115, 8478088, 8485640, 1599251, 2161379, 2999283, 3906615, 3929669, 228277
Rhamalina intermedia	nitrite	10	37314331, 28990237, 25440112, 24040572, 23246765, 22769443, 15491347, 11518336, 10733869
Rhamalina intermedia	phenols	13	37291703, 31680278, 31671566, 27245037, 25604883, 23122067, 14990622
Rhamalina intermedia	3-[4,5-dimethylthiazol-2-yl]-2,5-diphenyl-tetrazolium bromide	1	37291703
Rhamalina intermedia	chlorhexidine	165	37291703, 36656051, 36547540, 36398568, 35959306, 35829773, 35625330, 35208792, 34392403, 33883328, 33774716, 33383903, 33147687, 32454322, 31988023, 36814951, 31198338, 31171824, 30692740, 30024999, 29972457, 29970631, 29410255, 28755761, 28514868, 28383606, 28276583, 27966513, 27790459, 27753430, 29242687, 26949701, 26053503, 25986950, 25674314, 25581046, 25263382, 24738759, 23368885, 23039819, 22794217, 22565224, 22401128, 21743410, 21491990, 21206931, 21180677, 20088984, 19884734, 19236536, 19053921, 18438556, 18278298, 17653931, 17335366, 17014526, 16997123, 16683687, 16673792, 15619879, 14716261, 12816360, 12716335, 12366861, 12005141, 11799736, 11482142, 10322610, 8959563, 8915018, 8667133, 8596676, 8083788
Rhamalina intermedia	phenolics	3	37291703, 36496571
Rhamalina intermedia	tannic acid	2	37291703, 28850917
Rhamalina intermedia	halo	1	37288191
Rhamalina intermedia	oha	1	37235738
Rhamalina intermedia	sodium fluorescein	1	37235567
Rhamalina intermedia	noradrenaline	22	37215635, 29689267, 24918364, 18058990, 7783856, 7803185, 7526268, 3557070, 6194263, 6138722, 7214207, 745066, 13323, 1122533
Rhamalina intermedia	diazoxide	2	37215635
Rhamalina intermedia	carbachol	3	37215635, 9681504, 13323
Rhamalina intermedia	pcc	1	37211309
Rhamalina intermedia	c	30	37211309, 36963559, 36273249, 33677065, 31061264, 28064049, 20799083, 15653922, 36056522, 12425858, 11279308, 11172463, 10682389, 9657321
Rhamalina intermedia	sch	13	37204148
Rhamalina intermedia	oxygen	124	37204148, 36847623, 36364694, 35961112, 35937023, 35753626, 35385767, 34102516, 33800047, 32670524, 31962136, 30119626, 27347826, 26875613, 26707733, 26216344, 25613926, 25039504, 24795345, 24658077, 24159688, 24116118, 23679350, 23564226, 23029303, 22545184, 22193554, 22079025, 21850934, 21082979, 20955352, 20833979, 20815047, 20570846, 20381790, 19768984, 19041360, 17912965, 17897190, 17142362, 17064390, 16673792, 16579700, 16197461, 16173974, 15670715, 15615828, 15548301, 14690405, 12797758, 11799736, 11273014, 10964021, 10959101, 10882533, 10699850, 10539886, 9662275, 9336899, 9089744, 8897855, 8952151, 8810530, 8770892, 8767150, 7668221, 7740086, 11536516, 24192935, 2399911, 2180421, 3955238, 3942130, 6469699, 7034014, 870104, 932520, 4824874, 4326743
Rhamalina intermedia	triglyceride	19	37204148, 34043845, 33432439, 31900994, 31545933, 25395219, 24673135, 24069055, 23663085, 21526074, 18582336, 9239883, 8262355, 1342686
Rhamalina intermedia	minocycline hcl	1	37191955
Rhamalina intermedia	minocycline hydrochloride	8	37191955, 25986950, 25199931, 23852060, 8877655, 8396177
Rhamalina intermedia	dmft	2	37154987
Rhamalina intermedia	prednisolone	14	37147222, 26713748, 11868601
Rhamalina intermedia	25-hydroxyvitamin d	6	37147222, 24261910, 11122154
Rhamalina intermedia	co	22	37142031, 36768429, 33223468, 31061264, 28818403, 26101061, 9767508, 2316381, 6875958, 6286948, 7252881
Rhamalina intermedia	clindamycin	87	37140235, 36497685, 35884141, 33934384, 32763436, 32046045, 31770260, 30146848, 30048057, 25969137, 25091293, 24444257, 23688097, 23551701, 23224675, 22890195, 21763894, 20670687, 20600224, 20549955, 18326855, 17897190, 17530037, 17130992, 16887668, 16261393, 15757581, 15722627, 12791886, 12615878, 12111574, 11480243, 10980176, 10797085, 10730378, 10726537, 10702557, 10471570, 9988340, 9797247, 7562327, 29539756, 8410617, 1324301, 1800380
Rhamalina intermedia	thiamine	15	37125924, 9161450
Rhamalina intermedia	tetrahydrofuran	2	37125924
Rhamalina intermedia	thf	12	37125924
Rhamalina intermedia	iodine	14	37125513, 19150408, 11482142
Rhamalina intermedia	sodium thiosulfate	1	37125513
Rhamalina intermedia	tazobactam	6	37122594, 36837504, 11398832
Rhamalina intermedia	piperacillin	7	37122594, 36837504, 16261393, 10980176
Rhamalina intermedia	formalin	12	37119096, 36218108, 32450322, 27127695, 23572452, 23124752, 21878381, 17577058, 16379648, 10643977, 6206623
Rhamalina intermedia	hexane	5	37075426, 30356383, 30248113
Rhamalina intermedia	ethyl acetate	13	37075426, 36688708, 30841424, 28990237, 26132850, 25054150, 24738759, 22008877, 7776153, 8126201
Rhamalina intermedia	lavandin	12	37049706, 35884108, 35684332, 34684738, 32397385, 30722547, 17927148, 7866308
Rhamalina intermedia	terpenes	3	37049706, 33255092, 24420636
Rhamalina intermedia	ozone	16	37043490, 30988877, 30607228, 16353031, 33862909, 163855
Rhamalina intermedia	oufb	1	37043490
Rhamalina intermedia	spectinomycin	6	37039640
Rhamalina intermedia	wc	2	37026073
Rhamalina intermedia	br	2	37026073, 31061264
Rhamalina intermedia	pfa	1	37026073
Rhamalina intermedia	acridine	1	37003647
Rhamalina intermedia	ethidium bromide	3	37003647, 11005152, 7016841
Rhamalina intermedia	cm-h2dcfda	1	37003647
Rhamalina intermedia	proanthocyanidins	8	37003647, 30841424, 30781495, 28990237, 22265748, 19844825
Rhamalina intermedia	amentoflavone	7	37003647, 36445575, 14709920
Rhamalina intermedia	gallic	1	37003647
Rhamalina intermedia	quinic acids	3	37003647, 29882939, 23411301
Rhamalina intermedia	monocrotophos	4	37000294
Rhamalina intermedia	organophosphate	1	37000294
Rhamalina intermedia	ammonia	22	37000294, 31592676, 29744187, 21658104, 19832801, 18660986, 16806047, 14531616, 12770322, 12654101, 11762870, 11155172, 9573805, 7262088
Rhamalina intermedia	phosphorus	20	37000294, 36258980, 35909602, 34142205, 30516117, 29350657, 28270645, 27256348, 28959328, 26365703, 25946170, 23246765, 18581145, 18310868, 17277428, 21642204
Rhamalina intermedia	potassium	34	37000294, 36258980, 25946170, 19245409, 18581145, 15461364, 7600450, 8075878, 1656300, 2319302, 2181078, 2854222, 3227918, 2449252, 3514253, 2579351, 6193453, 7471174, 6276813
Rhamalina intermedia	cpitn	2	36980362
Rhamalina intermedia	sodium	45	36968802, 36258980, 27488102, 26365703, 21590705, 18581145, 17912965, 15461364, 8760097, 7588422, 1323666, 2333736, 2181078, 2316381, 2547175, 2854222, 2463328, 3316006, 2423930, 6850745, 6286948, 7127405, 6177419, 7471174, 7397761, 476809, 178449, 4442106
Rhamalina intermedia	mg	20	36968380, 36258980, 31671566, 29980710, 24843925, 24684943, 22628286, 12589956, 9549922, 8584110, 7127406, 808939
Rhamalina intermedia	asp277	1	36963559
Rhamalina intermedia	trp	6	36963559, 33278449, 21354584, 19245409, 16909861, 2552247
Rhamalina intermedia	t-muurolol	1	36960928
Rhamalina intermedia	alpha-copaene	1	36960928
Rhamalina intermedia	delta-cadinene	1	36960928
Rhamalina intermedia	germacrene b	2	36960928, 26247936
Rhamalina intermedia	delta-selinene	2	36960928
Rhamalina intermedia	ferrous iron	2	36958846, 1467169
Rhamalina intermedia	xen602	4	36958846
Rhamalina intermedia	cobalt	15	36958846, 12270786, 8262355, 1288798, 2319302, 2854222, 3811987, 2579351
Rhamalina intermedia	pdt	2	36927049
Rhamalina intermedia	arginine	23	36919705, 36496836, 27312988, 26617937, 25488617, 24068934, 23041992, 18221395, 17709895, 17608814, 12625826, 10203506, 1336791, 2356183, 3126032, 2967443, 3906615, 6274867
Rhamalina intermedia	l-dopa	21	36908174, 31729696, 3973605, 6726225, 6661667
Rhamalina intermedia	tyrosine phenol	1	36908174
Rhamalina intermedia	l-tyrosine phenol	1	36908174
Rhamalina intermedia	xylose	132	36893808, 32190113, 30498977, 29098561, 28804512, 28385851, 25465792, 24748334, 24354503, 24344268, 22591844, 22445945, 22113025, 21906329, 21642010, 20236521, 19002682, 18524919, 16402921, 12702245, 10425794, 3142200
Rhamalina intermedia	lactose	26	36893808, 29913204, 28290329, 24117150, 23631116, 15139185, 10625101, 8652347, 1528627, 31018309, 31018347, 3771412, 3705444, 6400723
Rhamalina intermedia	tricolporate	1	36883756
Rhamalina intermedia	echino-perforate	1	36883756
Rhamalina intermedia	digitate	1	36882893
Rhamalina intermedia	tetracycline hydrochloride	7	36873972, 27585669, 8083788, 2050896
Rhamalina intermedia	tin-mesoporphyrin	1	36872867
Rhamalina intermedia	2,3-diphosphoglycerate	1	36847623
Rhamalina intermedia	2,3-dpg	5	36847623, 7819067
Rhamalina intermedia	adenosine triphosphate	2	36847623, 36364694
Rhamalina intermedia	atp	45	36847623, 36364694, 32879714, 30835567, 26470857, 25387288, 23329319, 23266804, 19505801, 17064394, 12580080, 7557341, 7819067, 1288798, 2316381, 2843527, 2434529, 3811987, 7397754
Rhamalina intermedia	indocyanine green	5	36841279, 32214064, 31988023
Rhamalina intermedia	methylene blue	15	36841279, 34303029, 27753430, 18498901, 18045636, 16982278, 15752111, 12627274, 10086787
Rhamalina intermedia	icg	5	36841279
Rhamalina intermedia	methylene	1	36841279
Rhamalina intermedia	sirolimus	9	36840433
